k,silhouette,ari_vs_hdbscan
2,0.07836089568562982,0.21606585535116035
3,0.08082390684213431,0.15422654463600025
4,0.08069552083482817,0.1523340919964976
5,0.09659295874585923,0.3778305587013678
6,0.09684878104274997,0.37711158076283224
7,0.09517327895596857,0.3532097016993539
8,0.0905833774540327,0.3529669519082904
9,0.08849081166089987,0.307887994719466
10,0.09488632835327131,0.4837389244882505
