complexity_level,n_plasmids,pct_plasmids
1,177,45.854922279792746
2,103,26.683937823834196
3,71,18.393782383419687
4,28,7.253886010362693
5,6,1.5544041450777202
6,0,0.0
7,0,0.0
8,1,0.2590673575129534
