archaea_family,bacteria_phylum,observed,expected,residual
Methanosarcinaceae,Chloroflexota,4,3.14,0.482
Thermococcaceae,Desulfobacterota,2,1.43,0.479
Halobacteriaceae,Desulfobacterota,20,18.13,0.439
Haloferacaceae,Cyanobacteriota,332,324.26,0.43
Methanosarcinaceae,Bacteroidota,32,29.66,0.429
Halococcaceae,Bacillota_A,44,41.36,0.411
Thermococcaceae,Bacteroidota,14,12.56,0.406
Halalkalicoccaceae,Chloroflexota,9,7.88,0.4
Methanocaldococcaceae,Bacillota_C,1,0.68,0.387
Halococcaceae,Cyanobacteriota,51,48.32,0.386
Haladaptataceae,Deinococcota,252,246.1,0.376
Halococcaceae,Planctomycetota,7,6.09,0.368
Halobacteriaceae,Bacteroidota,164,159.53,0.354
Halalkalicoccaceae,Bacillota,111,107.44,0.343
Haloferacaceae,Bacteroidota,429,422.16,0.333
Haloarculaceae,Cyanobacteriota,312,306.22,0.33
Halococcaceae,Bacillota_E,1,0.74,0.306
Methanothermobacteraceae,Cyanobacteriota,2,1.63,0.287
Haladaptataceae,Bacteroidota,243,239.15,0.249
Haladaptataceae,Bacillota,350,345.81,0.226
Haladaptataceae,Bacillota_B,2,1.71,0.225
,Deferribacterota,1,0.82,0.195
Nitrosopumilaceae,Pseudomonadota,6,5.56,0.187
Haloarculaceae,Acidobacteriota,54,52.83,0.161
QS-9-68-17,Bacillota_C,13,12.44,0.159
Haladaptataceae,Bacillota_C,36,35.1,0.151
,Cyanobacteriota,29,28.2,0.15
Halalkalicoccaceae,Bacillota_E,1,0.87,0.138
,Spirochaetota,8,7.65,0.125
Thermococcaceae,Cyanobacteriota,10,9.65,0.113
Haloarculaceae,Chloroflexota,43,42.27,0.113
Haladaptataceae,Cyanobacteriota,185,183.69,0.097
Halobacteriaceae,Bacillota_E,2,1.87,0.095
Haloarculaceae,Bacillota_B,3,2.84,0.092
Haloarculaceae,Myxococcota,3,2.84,0.092
Haladaptataceae,Actinomycetota,397,395.29,0.086
Halococcaceae,Chlamydiota,5,4.84,0.072
Haloarculaceae,Bacteroidota,400,398.68,0.066
Natrialbaceae,Bacillota,614,612.39,0.065
Haloarculaceae,Planctomycetota,39,38.61,0.063
Natrialbaceae,Deinococcota,437,435.82,0.057
Halalkalicoccaceae,Synergistota,1,0.95,0.055
Natrialbaceae,Campylobacterota,96,95.63,0.038
Natrialbaceae,Bacteroidota,424,423.51,0.024
Haladaptataceae,Spirochaetota,50,49.85,0.021
Haloferacaceae,Acidobacteriota,56,55.94,0.008
QS-9-68-17,Bacillota_E,1,0.99,0.007
Natrialbaceae,Planctomycetota,41,41.01,-0.002
QS-9-68-17,Cyanobacteriota,65,65.09,-0.011
Natrialbaceae,Myxococcota,3,3.02,-0.013
QS-9-68-17,Deinococcota,87,87.2,-0.022
Halobacteriaceae,Acidobacteriota,21,21.14,-0.031
GW2011-AR1,Bacillota,11,11.18,-0.053
Halococcaceae,Campylobacterota,14,14.2,-0.054
,Desulfobacterota,4,4.17,-0.085
