rule,halo_n,halo_single_pct,nonhalo_n,nonhalo_single_pct,OR,p
no exclusion,129,28.68217054263566,29,65.51724137931035,0.2116704805491991,0.00040876357288510505
Tukey 1.5*IQR (≤ 6.0),120,30.833333333333332,28,67.85714285714286,0.21116043119847813,0.0004395135008333548
Tukey 3*IQR (≤ 9.0),124,29.838709677419356,28,67.85714285714286,0.2014519056261343,0.00035727292284375064
manuscript cutoff (≤ 4),105,35.23809523809524,27,70.37037037037037,0.22910216718266255,0.001843123299596542
