family,category,OR,p,plasmids_with,plasmids_total,analysis,p_adj,significant
Methanosarcinaceae,Lysis & membrane,0.0,0.3527649326409715,0,7,all_families,0.8375132820432055,False
Methanosarcinaceae,Metabolic enzymes,0.0,0.35452438228474326,0,7,all_families,0.8375132820432055,False
Methanosarcinaceae,Osmolyte transport,0.0,0.6004626065377202,0,7,all_families,1.0,False
Methanosarcinaceae,Prophage maintenance,0.0,1.0,0,7,all_families,1.0,False
Methanosarcinaceae,Tail & baseplate,0.0,1.0,0,7,all_families,1.0,False
Methanosarcinaceae,DNA packaging,5.484848484848484,0.2026339499184525,1,7,all_families,0.7337704971892531,False
Methanosarcinaceae,Capsid & head,0.0,1.0,0,7,all_families,1.0,False
Haloferacaceae,Integrase,1.7035864978902953,0.4559856938235608,95,99,halobacteriota_only,0.8867349209203486,False
Haloferacaceae,Phage replication,0.851828499369483,0.6741293057468514,21,99,halobacteriota_only,0.9713575625358646,False
Haloferacaceae,Lysis & membrane,0.784957627118644,0.4762094945683354,19,99,halobacteriota_only,0.8867349209203486,False
Haloferacaceae,Metabolic enzymes,0.6662439230606637,0.2417000425770967,16,99,halobacteriota_only,0.8852413478178192,False
Haloferacaceae,Osmolyte transport,1.6303418803418803,0.11026005305669731,21,99,halobacteriota_only,0.8852413478178192,False
Haloferacaceae,Prophage maintenance,1.6084945332211942,0.16099877699680126,17,99,halobacteriota_only,0.8852413478178192,False
Haloferacaceae,Tail & baseplate,1.9838709677419355,0.22907885413818738,6,99,halobacteriota_only,0.8852413478178192,False
Haloferacaceae,DNA packaging,0.22541743970315398,0.1908977010964098,1,99,halobacteriota_only,0.8852413478178192,False
Haloferacaceae,Capsid & head,1.953125,0.4056053421165967,3,99,halobacteriota_only,0.8867349209203486,False
Haloarculaceae,Integrase,1.1720164609053498,1.0,89,94,halobacteriota_only,1.0,False
Haloarculaceae,Phage replication,0.35092482606482267,0.0016431817637311682,11,94,halobacteriota_only,0.044365907620741545,True
Haloarculaceae,Lysis & membrane,0.5907172995780591,0.11062563427182133,15,94,halobacteriota_only,0.8852413478178192,False
Haloarculaceae,Metabolic enzymes,0.8003246753246753,0.5527232552111974,17,94,halobacteriota_only,0.9713575625358646,False
Haloarculaceae,Osmolyte transport,1.2087662337662337,0.623586476854652,17,94,halobacteriota_only,0.9713575625358646,False
Haloarculaceae,Prophage maintenance,0.8481927710843373,0.7235809474415928,11,94,halobacteriota_only,0.9713575625358646,False
Haloarculaceae,Tail & baseplate,0.447463768115942,0.36931551679596575,2,94,halobacteriota_only,0.8852413478178192,False
Haloarculaceae,DNA packaging,0.9157509157509157,1.0,3,94,halobacteriota_only,1.0,False
Haloarculaceae,Capsid & head,1.1043478260869566,1.0,2,94,halobacteriota_only,1.0,False
Natrialbaceae,Integrase,2.097560975609756,0.3056767173074153,86,89,halobacteriota_only,0.8852413478178192,False
Natrialbaceae,Phage replication,2.7818181818181817,0.00023806685163553037,34,89,halobacteriota_only,0.012855609988318641,True
Natrialbaceae,Lysis & membrane,2.120748299319728,0.007739948243644268,29,89,halobacteriota_only,0.13931906838559682,False
Natrialbaceae,Metabolic enzymes,1.259049773755656,0.45088194248903796,21,89,halobacteriota_only,0.8867349209203486,False
Natrialbaceae,Osmolyte transport,0.8552631578947368,0.7402841728331139,13,89,halobacteriota_only,0.9713575625358646,False
Natrialbaceae,Prophage maintenance,0.6902027027027027,0.46626152400397236,9,89,halobacteriota_only,0.8867349209203486,False
Natrialbaceae,Tail & baseplate,1.1952941176470588,0.7573385664897873,4,89,halobacteriota_only,0.9713575625358646,False
Natrialbaceae,DNA packaging,2.185374149659864,0.18703807220068663,5,89,halobacteriota_only,0.8852413478178192,False
Natrialbaceae,Capsid & head,1.1908045977011494,1.0,2,89,halobacteriota_only,1.0,False
Halobacteriaceae,Integrase,0.64,0.4505252970357423,32,35,halobacteriota_only,0.8867349209203486,False
Halobacteriaceae,Phage replication,1.161749209694415,0.6778654820149813,9,35,halobacteriota_only,0.9713575625358646,False
Halobacteriaceae,Lysis & membrane,1.717039800995025,0.19606133955820826,11,35,halobacteriota_only,0.8852413478178192,False
Halobacteriaceae,Metabolic enzymes,2.1981468282252314,0.046952482101804055,12,35,halobacteriota_only,0.6338585083743548,False
Halobacteriaceae,Osmolyte transport,0.6451612903225806,0.6276328899868746,4,35,halobacteriota_only,0.9713575625358646,False
Halobacteriaceae,Prophage maintenance,0.847926267281106,1.0,4,35,halobacteriota_only,1.0,False
Halobacteriaceae,Tail & baseplate,0.0,0.3770472407372193,0,35,halobacteriota_only,0.8852413478178192,False
Halobacteriaceae,DNA packaging,1.8666666666666667,0.3376649317523822,2,35,halobacteriota_only,0.8852413478178192,False
Halobacteriaceae,Capsid & head,0.0,1.0,0,35,halobacteriota_only,1.0,False
Haladaptataceae,Integrase,0.44952681388012616,0.2679025673296482,15,17,halobacteriota_only,0.8852413478178192,False
Haladaptataceae,Phage replication,0.6971066907775768,0.7714157725263582,3,17,halobacteriota_only,0.9713575625358646,False
Haladaptataceae,Lysis & membrane,0.7457142857142857,0.7734884294267069,3,17,halobacteriota_only,0.9713575625358646,False
Haladaptataceae,Metabolic enzymes,1.1906354515050168,0.7606769304276477,4,17,halobacteriota_only,0.9713575625358646,False
Haladaptataceae,Osmolyte transport,0.6812121212121212,1.0,2,17,halobacteriota_only,1.0,False
Haladaptataceae,Prophage maintenance,0.4041666666666667,0.7092817827809679,1,17,halobacteriota_only,0.9713575625358646,False
Haladaptataceae,Tail & baseplate,3.6,0.14128846855001562,2,17,halobacteriota_only,0.8852413478178192,False
Haladaptataceae,DNA packaging,0.0,1.0,0,17,halobacteriota_only,1.0,False
Haladaptataceae,Capsid & head,0.0,1.0,0,17,halobacteriota_only,1.0,False
Methanosarcinaceae,Integrase,0.36809815950920244,0.3515321693489004,6,7,halobacteriota_only,0.8852413478178192,False
Methanosarcinaceae,Phage replication,0.0,0.3603618039437486,0,7,halobacteriota_only,0.8852413478178192,False
Methanosarcinaceae,Lysis & membrane,0.0,0.35525528366509485,0,7,halobacteriota_only,0.8852413478178192,False
Methanosarcinaceae,Metabolic enzymes,0.0,0.3524525484331732,0,7,halobacteriota_only,0.8852413478178192,False
Methanosarcinaceae,Osmolyte transport,0.0,0.6035843983914414,0,7,halobacteriota_only,0.9713575625358646,False
Methanosarcinaceae,Prophage maintenance,0.0,0.6010559495746916,0,7,halobacteriota_only,0.9713575625358646,False
Methanosarcinaceae,Tail & baseplate,0.0,1.0,0,7,halobacteriota_only,1.0,False
Methanosarcinaceae,DNA packaging,5.075757575757576,0.21668398753761273,1,7,halobacteriota_only,0.8852413478178192,False
Methanosarcinaceae,Capsid & head,0.0,1.0,0,7,halobacteriota_only,1.0,False
